Title,Year,My Rating,Director,Rotten Tomatoes,IMDB,,,,,
Futurama: Into The Wild Green Yonder,2009,57,"Avanzino, Peter",67,73,,,,,
Aladdin,1992,58,"Clements, Ron",94,80,,,,,
Room 237,2013,58,"Ascher, Rodney",94,62,,,,,
Dark Star,1974,58,"Carpenter, John",79,64,,,,,
The Aristocrats,2005,58,"Provenza, Paul",79,64,,,,,
Cloud Atlas,2012,58,Wachowski Sisters,66,74,,,,,
The 300,2007,58,"Snyder, Zack",60,77,,,,,
Project Nim,2011,59,"Marsh, James",98,74,,,,,
Halloween,1978,60,"Carpenter, John",93,78,,,,,
Barton Fink,1991,60,"Cohen, Joel & Ethan",91,77,,,,,
Coraline,2009,60,"Selick, Henry",90,77,,,,,
Starman,1984,60,"Carpenter, John",81,70,,,,,
The Green Mile,1999,60,"Darabont, Frank",80,85,,,,,
Recount,2008,60,"Roach, Jay",76,74,,,,,
Hip Hop: Beyond the Beats and Ryhmes,2007,60,"Hurt, Byron",67,74,,,,,
It,1990,60,"Wallace, Tommy Lee",62,60,,,,,
Across The Universe,2007,60,"Taymor, Julie",53,74,,,,,
Austin Powers: The Spy Who Shagged Me,1999,60,"Roach, Jay",51,66,,,,,
Lucky Number Slevin,2006,60,"McGuigan, Paul",51,78,,,,,
The Pawnbroker,1965,61,"Lumet, Sidney",100,78,,,,,
The Verdict,1982,61,"Lumet, Sidney",96,78,,,,,
The Trial,1962,61,"Welles, Orson",78,78,,,,,
Kingsman: The Golden Circle,2017,61,"Vaughn, Matthew",52,68,,,,,
Spirited Away,2001,62,"Miyazaki, Hayao",97,86,,,,,
A Series of Unfortunate Events,2004,62,"Silberling, Brad",72,79,,,,,
The Ref,1994,62,"Demme, Ted",71,69,,,,,
Shoot 'em Up,2007,63,"Davis, Michael",67,67,,,,,
Austin Powers: Gold Member,2002,63,"Roach, Jay",54,62,,,,,
Knocked Up,2007,64,"Apatow, Judd",90,70,,,,,
Horton Hears a Who,2008,64,"Hayward, Jimmy",79,68,,,,,
Ghost,1990,64,"Joel Rubin, Bruce",74,70,,,,,
Brazil,1985,65,"Gilliam, Terry",98,80,,,,,
House of Games,1987,65,"Mamet, David",96,73,,,,,
Money Ball,2011,65,"Bennet, Miller",94,76,,,,,
Batman: The Dark Knight Rises,2012,65,"Nolan, Christopher",87,84,,,,,
Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,65,"Gibney, Alex",86,77,,,,,
The Other Guys,2010,65,"McKay, Adam",78,67,,,,,
Lock Stock and Two Smoking Barrels,1998,65,"Ritchie, Guy",76,82,,,,,
The Mist,2007,65,"Darabont, Frank",72,72,,,,,
Wanted,2008,65,"Bekmambetov, Timur",72,67,,,,,
They Came Together,2014,65,"Wain, David",69,55,,,,,
Anchorman: The Legend of Ron Burgundy,2004,65,"McKay, Adam",66,72,,,,,
Demolition Man,1993,65,"Brambilla, Marco",64,66,,,,,
The Terminal,2004,65,"Spielberg, Steven",61,73,,,,,
Equilibrium,2002,65,"Wimmer, Kurt",38,75,,,,,
Best in Show,2000,66,"Guest, Christopher",95,75,,,,,
It's a Wonderful Life,1945,66,"Capra, Frank",94,86,,,,,
The Sting,1973,66,"Hill, George Roy",93,83,,,,,
Hail Caesar,2016,66,"Cohen, Joel & Ethan",85,63,,,,,
Burn After Reading,2008,66,"Cohen, Joel & Ethan",78,70,,,,,
Walk Hard: The Dewey Cox Story,2007,66,"Kasdan, Jake",74,68,,,,,
10 Things I Hate About You,1999,66,"Junger, Jill",62,73,,,,,
The Sandlot,1993,66,"Evans, David Mickey",58,78,,,,,
The Lady Killers,2004,66,"Cohen, Joel & Ethan",55,62,,,,,
MacGruber,2010,66,"Taccone, Jorma",47,55,,,,,
Dial M for Murder,1954,67,"Hitchcock, Alfred",88,82,,,,,
TimeCrimes,2007,67,"Vigalondo, Nacho",88,72,,,,,
Hellboy 2: The Golden Army,2008,67,"del Toro, Guillermo",85,70,,,,,
Hard 8,1996,67,"Anderson, Paul Thomas",83,72,,,,,
William Kunstler: Disturbing the Universe,2009,78,Kunstler Sisters,79,77,,,,,
The Fog,1980,67,"Carpenter, John",71,68,,,,,
Men In Black 2,2002,67,"Sonnenfeld, Barry",39,61,,,,,
Cloudy with a Chance of Meatballs,2009,68,"Lord, Phil",87,70,,,,,
Mulholland Drive,2001,68,"Lynch, David",83,80,,,,,
Cool Runnings,1993,68,"Turteltaub, Jon",75,69,,,,,
The Red Badge of Courage,1951,93,"Huston, John",90,73,,,,,
Galaxy Quest,1999,69,"Parisot, Dean",90,73,,,,,
John Wick,2014,69,"Stahelski, Chad",85,73,,,,,
Gremlins,1984,69,"Spielberg, Steven",84,72,,,,,
Men In Black 3,2012,69,"Sonnenfeld, Barry",68,68,,,,,
Take Me Home Tonight,2011,69,"Dowse, Michael",28,63,,,,,
Enron: The Smartest Guys in The Room,2005,70,"Gibney, Alex",97,77,,,,,
Invasion of the Body Snatchers,1987,70,"Kaufman, Philip",94,74,,,,,
Inside Llewyn Davis,2013,70,"Cohen, Joel & Ethan",94,75,,,,,
Logan Lucky,2017,70,"Soderbergh, Steven",92,70,,,,,
The American President,1995,70,"Reiner, Rob",90,68,,,,,
Superbad,2007,70,"Mottola, Greg",88,76,,,,,
Howl's Moving Castle,2004,70,"Miyazaki, Hayao",87,82,,,,,
Trading Places,1983,68,"Landis, John",86,75,,,,,
Donnie Darko,2001,70,"Kelly, Richard",86,81,,,,,
Thank You For Smoking,2005,70,"Reitman, Jason",86,76,,,,,
As Good as it Gets,1997,70,"Brooks, James L.",84,77,,,,,
Batman Begins,2005,70,"Nolan, Christopher",84,83,,,,,
Harry Potter and The Half-Blood Prince,2009,70,"Yates, David",84,76,,,,,
Layer Cake,2004,70,"Vaughn, Matthew",81,73,,,,,
Harry Potter and The Deathly Hallows Part 1,2010,70,"Yates, David",78,77,,,,,
Eyes Wide Shut,1999,72,"Kubrick, Stanley",74,74,,,,,
The Game,1987,70,"Fincher, David",72,78,,,,,
Austin Powers: International Man of Mystery,1997,70,"Roach, Jay",70,70,,,,,
Mission: Impossible - 3,2006,70,"Abrams, J. J.",70,69,,,,,
Scrooged,1988,70,"Donner, Richard",68,70,,,,,
Speed Racer,2008,70,Wachowski Sisters,39,59,,,,,
Zootopia,2016,71,"Bush, Jared",98,80,,,,,
Blow Out,1981,71,"DePalma, Brian",87,74,,,,,
Inception,2010,71,"Nolan, Christopher",86,88,,,,,
Interstellar,2014,71,"Nolan, Christopher",71,86,,,,,
The Treasure of the Sierra Madre,1948,72,"Huston, John",100,82,,,,,
The Asphalt Jungle,1950,72,"Huston, John",97,79,,,,,
Bigger Stronger Faster*,2008,79,"Bell, Chris",96,76,,,,,
Spotlight,2015,72,"McCarthy, Tom",96,81,,,,,
No Country For Old Men,2007,72,"Cohen, Joel & Ethan",93,81,,,,,
Star Wars: The Force Awakens,2015,72,"Abrams, J.J.",92,80,,,,,
"Three Billboards Outside Ebbing, Missouri",2017,72,"McDonagh, Martin",92,82,,,,,
National Lapoon's Animal House,1978,72,"Landis, John",91,76,,,,,
A Clockwork Orange,1971,72,"Kubrick, Stanley",90,83,,,,,
The Usual Suspects,1995,72,"Singer, Bryan",88,86,,,,,
The Spanish Prisoner,1997,72,"Mamet, David",88,73,,,,,
Mystery Team,2009,72,"Eckman, Dan",53,68,,,,,
The Bad Sleep Well,1960,73,"Kurosawa, Akira",100,81,,,,,
Mad Max 2: The Road Warrior,1982,73,"Miller, George",98,76,,,,,
The Big Sick,2017,73,"Showalter, Michael",98,76,,,,,
310 to Yuma,1957,73,"Daves, Delmer",96,76,,,,,
All That Heaven Allows,1955,73,"Sirk, Douglas",93,77,,,,,
10 Cloverfield Lane,2016,73,"Trachtenberg, Dan",90,72,,,,,
The Girl with The Dragon Tattoo,2011,73,"Fincher, David",86,78,,,,,
Standard Operating Procedure,2008,73,"Morris, Errol",78,75,,,,,
Stardust,2007,73,"Vaughn, Matthew",76,77,,,,,
Rob Roy,1995,73,"Caton-Jones, Michael",72,69,,,,,
Let The Right One In,2008,74,"Alfredson, Tomas",98,79,,,,,
Monty Python and the Holy Grail,1975,74,"Gilliam, Terry",97,83,,,,,
The Big Sleep ,1946,74,"Hawks, Howard",96,80,,,,,
Back to The Future,1985,74,"Zemeckis, Robert",96,85,,,,,
Ratatouille,2007,74,"Bird, Brad",96,80,,,,,
Spy,2015,74,"Feig, Paul",94,70,,,,,
Misery,1990,74,"Reiner, Rob",89,78,,,,,
Moon,2009,74,"Jones, Duncan",89,79,,,,,
Slither,2006,74,"Gunn, James",86,65,,,,,
Addams Family Values,1993,74,"Sonnenfeld, Barry",78,67,,,,,
Team America: World Police,2004,74,"Parker, Trey",77,72,,,,,
Talladega Nights,2006,74,"McKay, Adam",72,66,,,,,
Seven Samurai,1954,75,"Kurosawa, Akira",100,87,,,,,
In a Lonely Place,1950,75,"Ray, Nicholas",97,80,,,,,
Harry Potter and The Deathly Hallows Part 2,2011,75,"Yates, David",96,81,,,,,
Stray Dog,1963,75,"Kurosawa, Akira",95,79,,,,,
Murder on the Orient Express,1974,75,"Lumet, Sidney",95,73,,,,,
Blood Simple,1984,75,"Cohen, Joel & Ethan",94,76,,,,,
Stand By Me,1986,75,"Reiner, Rob",91,81,,,,,
Life + Debt,2001,75,"Black, Stephanie",90,76,,,,,
The Jerk,1979,75,"Reiner, Carl",84,72,,,,,
Harry Potter and The Chamber of Secrets,2002,75,"Columbus, Chris",82,74,,,,,
Stranger Than Fiction,2006,75,"Forster, Marc",72,76,,,,,
The Addams Family,1991,75,"Sonnenfeld, Barry",60,69,,,,,
Step Brothers,2008,75,"McKay, Adam",55,69,,,,,
Inside Out,2015,76,"Docter, Pete",98,82,,,,,
Bull Durham,1988,76,"Shelton, Ron",97,71,,,,,
Eternal Sunshine of The Spotless mind,2004,76,"Gondry, Michel",93,83,,,,,
Seven Psychopaths,2012,76,"McDonagh, Martin",82,72,,,,,
Big Fish,2003,76,"Burton, Tim",77,80,,,,,
The Prestige,2006,76,"Nolan, Christopher",76,85,,,,,
Clue,1985,76,"Lynn, Jonathan",62,73,,,,,
What We Do In The Shadows,2015,77,"Waititi, Taika",96,77,,,,,
The Man Who Wasn't There,2001,77,"Cohen, Joel & Ethan",81,76,,,,,
Mission: Impossible - 2,2000,77,"Woo, John",70,61,,,,,
The Devil's Advocate,1997,77,"Hackford, Taylor",66,75,,,,,
This is Spinal Tap,1984,78,"Reiner, Rob",95,80,,,,,
Ed Wood,1994,78,"Burton, Tim",92,79,,,,,
Little Shop of Horrors,1986,78,"Oz, Frank",90,70,,,,,
Attack The Block,2011,78,"Cornish, Joe",90,66,,,,,
Memories of Murder,2003,82,"Bong, Joon-ho",89,81,,,,,
Starship Troopers,1997,79,"Verhoeven, Paul",63,72,,,,,
Throne of Blood,1957,79,"Kurosawa, Akira",98,81,,,,,
The Last Waltz,1978,79,"Scorsese, Martin",98,82,,,,,
Assault of Precinct 13,1976,79,"Carpenter, John",97,74,,,,,
Dirty Harry,1971,79,"Siegel, Don",95,78,,,,,
Insomnia,2002,79,"Nolan, Christopher",92,72,,,,,
The Third Man,1949,80,"Reed, Carol",100,82,,,,,
Jaws,1975,80,"Spielberg, Steven",97,80,,,,,
Airplane!,1980,80,"Zucker, David",97,78,,,,,
Lost In Translation,2003,80,"Coppola, Sofia",95,78,,,,,
The Truman Show,1998,80,"Weir, Peter",94,81,,,,,
Mission: Impossible - Rogue Nation,2015,80,"McQuarrie, Christopher",93,74,,,,,
Gone With the Wind,1939,80,"Fleming, Victor",92,82,,,,,
Lion King,1994,80,"Allers, Roger",92,85,,,,,
Men In Black,1997,80,"Sonnenfeld, Barry",92,73,,,,,
The Martian,2015,80,"Scott, Ridley",91,80,,,,,
Bridesmaids,2011,80,"Feig, Paul",90,68,,,,,
Harry Potter and The Goblet of Fire,2005,80,"Newell, Mike",88,77,,,,,
Blast of Silence,1951,80,"Baron, Allen",85,76,,,,,
The Emporer's New Groove,2000,80,"Dindal, Mark",85,73,,,,,
Kiss Kiss Bang Bang,2005,80,"Black, Shane",85,76,,,,,
It,2017,80,"Muschietti, Andy",84,74,,,,,
Star Wars: Return of the Jedi,1983,85,"Marquand, Richard",80,83,,,,,
Harry Potter and The Sorcerer's Stone,2001,80,"Columbus, Chris",80,76,,,,,
Harry Potter and The Order of the Phoenix,2007,80,"Yates, David",78,75,,,,,
The Goonies,1985,80,"Donner, Richard",70,78,,,,,
The Fall,2006,85,"Singh, Tarsem",59,79,,,,,
The Life Aquatic with Steve Zissou,2004,80,"Anderson, Wes",56,73,,,,,
Hotrod,2007,80,"Morrow, Michael",40,67,,,,,
Once Upon a Time in the West,1968,81,"Leone, Sergio",98,85,,,,,
Inside Job,2010,81,"Ferguson, Charles",98,83,,,,,
Double Indemnity,1944,81,"Wilder, Billy",96,83,,,,,
Network,1976,81,"Lumet, Sidney",91,81,,,,,
Calvary,2014,81,"McDonagh, John",89,74,,,,,
My Cousin Vinny,1992,81,"Lynn, Jonathan",85,76,,,,,
Fight Club,1999,81,"Fincher, David",79,88,,,,,
Village of the Damned,1995,81,"Carpenter, John",29,56,,,,,
Deliverance,1972,81,"Boorman, John",93,77,,,,,
Ikiru,1956,82,"Kurosawa, Akira",100,83,,,,,
In the Heat of the Night,1967,82,"Jewison, Norman",96,80,,,,,
One Flew Over The Cuckoo's Nest,1975,82,"Forman, Milos",95,87,,,,,
The Lord of the Rings: Return of the King,2003,82,"Jackson, Peter",95,89,,,,,
The House I live In,2012,82,"Jarecki, Eugene",94,79,,,,,
Carrie,1976,82,"DePalma, Brian",93,74,,,,,
Star Wars: A New Hope,1977,82,"Lucas, George",93,86,,,,,
The Duellists,1977,82,"Scott, Ridley",92,75,,,,,
Fantastic Mr. Fox,2009,82,"Anderson, Wes",92,79,,,,,
Legally Blonde ,2001,82,"Luketic, Robert",68,63,,,,,
Prince of Darkness,1987,82,"Carpenter, John",58,67,,,,,
Coco,2017,83,"Unkrich, Lee",97,84,,,,,
Dawn of the Dead,1978,83,"Romero, George",92,79,,,,,
Lincoln,2012,83,"Spielberg, Steven",90,74,,,,,
The Exorcist ,1973,83,"Friedkin, Williams",86,80,,,,,
Escape from New York,1981,83,"Carpenter, John",85,72,,,,,
I Confess,1952,83,"Hitchcock, Alfred",80,73,,,,,
Batman,1989,83,"Burton, Tim",72,75,,,,,
Coming to America,1988,83,"Landis, John",68,70,,,,,
L.A. Confidential,1997,84,"Hanson, Curtis",99,83,,,,,
UP,2009,84,"Docter, Pete",98,83,,,,,
Defending Your Life,1991,84,"Brooks, Albert",97,73,,,,,
Fantasia,1940,84,DISNEY,96,78,,,,,
Fail Safe,1964,84,"Lumet, Sidney",95,80,,,,,
Silence of the Lambs,1991,84,"Demme, Jonathan",95,86,,,,,
Pulp Fiction,1994,84,"Tarantino, Quentin",94,89,,,,,
Election,1999,84,"Payne, Alexander",92,73,,,,,
The Wrong Man,1956,84,"Hitchcock, Alfred",91,75,,,,,
The Producers,2005,84,"Stroman, Susan",91,64,,,,,
American Beauty,1999,84,"Mendes, Sam",88,84,,,,,
Get Shorty,1995,84,"Sonnenfeld, Barry",86,69,,,,,
Forgetting Sarah Marshall,2008,84,"Stoller, Nicolas",85,72,,,,,
The Royal Tenenbaums,2001,84,"Anderson, Wes",80,76,,,,,
White Men Can't Jump,1992,84,"Shelton, Ron",76,67,,,,,
In The Mouth of Madness,1995,84,"Carpenter, John",51,72,,,,,
Vertigo,1958,85,"Hitchcock, Alfred",97,83,,,,,
The Incredibles,2004,85,"Bird, Brad",97,80,,,,,
Rebel Without a Cause,1955,85,"Ray, Nicholas",96,78,,,,,
The Lego Movie,2014,85,"Lord, Phil",96,78,,,,,
The Imposter,2012,85,"Layton, Bart",95,75,,,,,
Mission: Impossible - Ghost Protocol,2011,85,"Bird, Brad",93,74,,,,,
Drive,2011,85,"Refn, Nicholas Winding",92,78,,,,,
Thor: Ragnarok,2017,85,"Waititi, Taika",92,79,,,,,
The Dirty Dozen ,1967,85,"Aldrich, Robert",91,78,,,,,
Blazing Saddles,1974,85,"Brooks, Mel",90,78,,,,,
Willy Wonka and The Chocolate Factory,1971,85,"Stuart, Mel",89,78,,,,,
Robocop,1987,85,"Verhoeven, Paul",88,76,,,,,
Rogue One: A Star Wars Story,2016,79,"Edwards, Gareth",85,78,,,,,
Big Trouble in Little China,1986,85,"Carpenter, John",82,73,,,,,
Batman Returns,1992,85,"Burton, Tim",81,70,,,,,
Bad Santa,2003,85,"Zwigoff, Terry",78,71,,,,,
V for Vendetta,2005,85,Wachowski Sisters,73,82,,,,,
Mission: Impossible,1996,85,"DePalma, Brian",63,71,,,,,
The Protector,2005,85,"Pinkaew, Prachya",54,71,,,,,
Rebecca,1940,86,"Hitchcock, Alfred",100,81,,,,,
The Triplets of Belleville,2003,86,"Chomet, Sylvain",94,78,,,,,
RKO 281,1999,84,"Ross, Benjamin",92,71,,,,,
Cabin in The Woods,2012,86,"Whedon, Joss",92,70,,,,,
The Man Who Knew Too Much,1956,86,"Hitchcock, Alfred",91,75,,,,,
The Lord of the Rings: Fellowship of The Ring,2001,86,"Jackson, Peter",91,88,,,,,
Harry Potter and The Prisoner of Azkaban,2004,86,"Cuaron, Alfonso",91,79,,,,,
Guardians of the Galaxy,2014,86,"Gunn, James",91,81,,,,,
Total Recall,1990,86,"Verhoeven, Paul",82,75,,,,,
The Big Lebowski,1998,86,"Cohen, Joel & Ethan",81,81,,,,,
Dark City,1998,86,"Proyas, Alex",74,77,,,,,
From Dusk Til Dawn,1996,86,"Raimi, Sam",64,73,,,,,
Ravenous,1999,86,"Bird, Antonia",45,70,,,,,
Rear Window,1954,87,"Hitchcock, Alfred",100,85,,,,,
The Birds,1963,87,"Hitchcock, Alfred",96,77,,,,,
Apollo 13,1995,87,"Howard, Ron",95,76,,,,,
Charade,1963,87,"Donen, Stanley",92,80,,,,,
My Dinner with Andre,1981,87,"Malle, Louis",91,78,,,,,
The LEGO Batman Movie,2017,87,"McKay, Chris",90,73,,,,,
Rashomon,1950,88,"Kurosawa, Akira",100,83,,,,,
Taxi Driver,1976,88,"Scorsese, Martin",99,83,,,,,
Notorious,1946,88,"Hitchcock, Alfred",97,80,,,,,
Annie Hall,1977,88,"Allen, Woody",97,80,,,,,
Dog Day Afternoon,1975,88,"Lumet, Sidney",95,80,,,,,
Moonrise Kingdom,2012,88,"Anderson, Wes",94,78,,,,,
The Incredibles 2,2018,81,"Bird, Brad",94,78,,,,,
Star Wars: The Last Jedi,2017,85,"Johnson, Rian",93,72,,,,,
Memento,2000,88,"Nolan, Christopher",92,85,,,,,
Butch Cassidy and The Sundance Kid,1969,88,"Hill, George Roy",89,81,,,,,
When Harry Met Sally,1989,88,"Reiner, Rob",89,76,,,,,
A Serious Man,2009,88,"Cohen, Joel & Ethan",89,71,,,,,
The Blues Brothers,1980,88,"Landis, John",85,79,,,,,
The Lord of the Rings: The Two Towers,2002,89,"Jackson, Peter",96,87,,,,,
In the Mood for Love,2000,89,"Wong, Kar-Wai",90,81,,,,,
Smokin' Aces,2006,89,"Carnahan, Joe",29,82,,,,,
Shadow of a Doubt,1943,90,"Hitchcock, Alfred",100,79,,,,,
Rio Bravo,1959,90,"Hawks, Howard",100,80,,,,,
Evil Dead 2,1987,90,"Raimi, Sam",98,78,,,,,
The Good the Bad and The Ugly,1966,90,"Leone, Sergio",97,89,,,,,
Alien,1979,90,"Scott, Ridley",97,85,,,,,
Mad Max: Fury Road,2015,90,"Miller, George",97,81,,,,,
Dont Look Now,1973,90,"Roeg, Nicholas",96,73,,,,,
Full Metal Jacket,1987,90,"Kubrick, Stanley",95,83,,,,,
Unforgiven,1992,97,"Eastwood, Clint",95,82,,,,,
Indiana Jones and the Raiders of the Lost Arc,1981,90,"Spielberg, Steven",94,85,,,,,
Fargo,1996,90,"Cohen, Joel & Ethan",94,81,,,,,
Young Frankenstein,1974,90,"Brooks, Mel",93,80,,,,,
Kung Fu Hustle,2004,90,"Chow, Stephen",90,76,,,,,
Rushmore,1998,90,"Anderson, Wes",89,77,,,,,
Indiana Jones and the Last Crusade,1989,90,"Spielberg, Steven",88,82,,,,,
Dead Alive,1992,90,"Jackson, Peter",88,75,,,,,
The Naked Gun,1988,90,"Zucker, David",87,76,,,,,
Indiana Jones and the Temple of Doom,1984,90,"Spielberg, Steven",85,76,,,,,
In Bruges,2008,90,"McDonagh, John",84,79,,,,,
Scott Pilgrim Vrs The World,2010,90,"Wright, Edgar",81,75,,,,,
Confessions of a Dangerous Mind,2002,90,"Clooney, George",79,71,,,,,
Kingsman: The Secret Service,2014,90,"Vaughn, Matthew",74,77,,,,,
Dirty Dancing,1987,90,"Ardolino, Emile",71,69,,,,,
The Watchmen,2009,90,"Snyder, Zack",65,76,,,,,
Yojimbo,1961,91,"Kurosawa, Akira",97,83,,,,,
Chimes at Midnight,1965,91,"Welles, Orson",97,79,,,,,
Lifeboat,1944,91,"Hitchcock, Alfred",91,78,,,,,
Anatomy of a Murder,1959,92,"Preminger, Otto",100,81,,,,,
Aliens,1986,92,"Cameron, James",98,84,,,,,
The Princess Bride,1987,92,"Reiner, Rob",97,81,,,,,
Batman: The Dark Knight,2008,92,"Nolan, Christopher",94,90,,,,,
Dunkirk,2017,92,"Nolan, Christopher",92,79,,,,,
An American Werewolf in London,1981,86,"Landis, John",89,76,,,,,
F for Fake,1973,92,"Welles, Orson",88,78,,,,,
Baby Driver,2017,93,"Wright, Edgar",97,76,,,,,
Psycho,1960,93,"Hitchcock, Alfred",96,85,,,,,
Boogie Nights,1997,93,"Anderson, Paul Thomas",93,79,,,,,
Logan,2017,93,"Mangold, James",93,81,,,,,
High Noon,1952,94,"Zinnemann, Fred",96,80,,,,,
The Death of Stalin,2018,94,"Iannucci, Armando",96,72,,,,,
Snowpiercer,2013,94,"Bong, Joon-ho",95,71,,,,,
Star Wars: The Empire Strikes Back,1980,94,"Kershner, Irvin",94,88,,,,,
Shaun of the Dead,2004,94,"Wright, Edgar",92,79,,,,,
The World's End,2013,94,"Wright, Edgar",89,70,,,,,
Rosemary's Baby,1968,95,"Polanski, Roman",99,80,,,,,
Who Framed Roger Rabbit,1988,95,"Zemeckis, Robert",97,77,,,,,
The Wild Bunch,1969,95,"Peckinpah, Sam",96,80,,,,,
Do The Right Thing,1989,95,"Lee, Spike",93,79,,,,,
Jurassic Park,1993,95,"Spielberg, Steven",93,81,,,,,
Reservoir Dogs,1992,95,"Tarantino, Quentin",90,83,,,,,
Zodiac,2007,95,"Fincher, David",89,77,,,,,
Django Unchained,2012,95,"Tarantino, Quentin",88,84,,,,,
They Live,1988,95,"Carpenter, John",84,73,,,,,
The Hudsucker Proxy,1994,95,"Cohen, Joel & Ethan",57,73,,,,,
The Maltese Falcon,1941,96,"Huston, John",100,81,,,,,
North by Northwest,1959,96,"Hitchcock, Alfred",100,83,,,,,
The Hustler,1961,96,"Rossen, Robert",98,80,,,,,
Repo Man,1984,93,"Cox, Alex",98,69,,,,,
Touch of Evil,1958,96,"Welles, Orson",96,80,,,,,
Mary and Max,2009,96,"Elliot, Adam",95,81,,,,,
The Handmaiden,2016,96,"Park, Chan-wook",95,81,,,,,
The Grand Budapest Hotel,2014,96,"Anderson, Wes",92,81,,,,,
The Shining,1980,96,"Kubrick, Stanley",87,84,,,,,
Bottle Rocket,1996,96,"Anderson, Wes",85,70,,,,,
Ferris Bueller's Day Off,1986,96,"Hughes, John",81,78,,,,,
"O Brother, Where Art Thou",2000,96,"Cohen, Joel & Ethan",77,78,,,,,
Rope,1948,97,"Hitchcock, Alfred",97,80,,,,,
Hot Fuzz,2007,97,"Wright, Edgar",91,79,,,,,
Death Trap,1982,97,"Lumet, Sidney",75,70,,,,,
Panic Room,2002,97,"Fincher, David",75,68,,,,,
The Big Chill,1983,97,"Kasdan, Lawrence",68,72,,,,,
The Fog of War,2003,98,"Morris, Errol",98,82,,,,,
Raising Arizona,1987,98,"Cohen, Joel & Ethan",90,74,,,,,
Inglourious Basterds,2009,98,"Tarantino, Quentin",89,83,,,,,
Strangers on a Train,1951,99,"Hitchcock, Alfred",98,80,,,,,
Spartacus,1960,99,"Kubrick, Stanley",96,79,,,,,
Patton,1970,99,"Schaffner, Franklin",95,80,,,,,
The Hateful Eight,2015,99,"Tarantino, Quentin",74,78,,,,,
12 Angry Men,1957,100,"Lumet, Sidney",100,89,,,,,
Cool Hand Luke,1967,100,"Rosenberg, Stuart",100,81,,,,,
Dr. Strangelove,1964,100,"Kubrick, Stanley",99,84,,,,,
On the Waterfront,1954,100,"Kazan, Elia",98,82,,,,,
Chinatown,1974,100,"Polanski, Roman",98,82,,,,,
Casablanca,1942,100,"Curtiz, Michael",97,85,,,,,
Cat on a Hot Tin Roof,1958,100,"Brooks, Richard",97,81,,,,,
Ran,1985,100,"Kurosawa, Akira",96,82,,,,,
Groundhog Day,1993,100,"Ramis, Harold",96,80,,,,,
Paths of Glory,1957,100,"Kubrick, Stanley",94,84,,,,,
